Timestamp;Id;SequenceId;SequenceSet;VectorGazeX;VectorGazeY;VectorGazeZ;GazeX;GazeY
638361797155952065;1362;3;0;0.07283834;-0.3868883;0.9192454;3273.1437887996435;3000
638361797156937463;1362;3;0;0.1664552;-0.1803466;0.9694162;3624.206978827715;2401.7329663038254
638361797157981898;1362;3;0;0.2540055;-0.1615909;0.9536087;3952.5205940008163;2307.9545199871063
638361797158496068;1362;3;0;0.1894078;-0.2055868;0.9601348;3710.279233753681;2527.934029698372
638361797159542332;1362;3;0;0.1632892;-0.2290123;0.9596301;3612.33451589942;2645.0614780187607
638361797160519494;1362;3;0;0.1243468;-0.1176917;0.9852343;3466.3005005568266;2088.458515703678
638361797161567122;1362;3;0;0.01593669;-0.143025;0.9895908;3059.7625854425132;2215.1249796152115
638361797162139169;1362;3;0;0.1453221;-0.02784991;0.9889924;3544.957872480154;1639.2495539039373
638361797162695166;1362;3;0;0.1468723;-0.02911741;0.9887269;3550.771113485098;1645.587045699358
638361797163705218;1362;3;0;0.1533727;-0.02536116;0.987843;3575.147643685341;1626.8057990819216
638361797164640865;1362;3;0;0.07432796;-0.09927504;0.9922801;3278.7298522889614;1996.3751882314682
638361797165150058;1362;3;0;0.03421867;-0.2199459;0.9749117;3128.3200085163116;2599.729463458061
638361797166139866;1362;3;0;0;0;0;3000;1500
638361797166663186;1362;3;0;0;0;0;3000;1500
638361797167169479;1362;3;0;0.1463392;-0.351986;0.9244948;3548.7719736993313;3000
638361797167705125;1362;3;0;0.1322957;-0.3020917;0.9440542;3496.108867228031;3000
638361797168751145;1362;3;0;0.1257938;-0.3165244;0.9402065;3471.7267490923405;3000
638361797169783415;1362;3;0;0.08629356;-0.3507004;0.9325035;3323.600862175226;3000
638361797170309629;1362;3;0;0.09902331;-0.3389462;0.9355799;3371.3374212384224;3000
638361797170877105;1362;3;0;0.08723699;-0.3336778;0.938642;3327.1387238055468;3000
638361797171936602;1362;3;0;0.222125;-0.184123;0.9574755;3832.9687267541885;2420.6149727106094
638361797172550099;1362;3;0;0.2086419;-0.1913728;0.9590856;3782.4071310460567;2456.863984465599
638361797173173410;1362;3;0;0.2147854;-0.1906575;0.957871;3805.4452389478683;2453.2874822616577
638361797174225280;1362;3;0;0.1761985;-0.2290693;0.9573304;3660.7443653047085;2645.346537232399
638361797174712252;1362;3;0;0.3418735;-0.1429344;0.9288123;4282.02561289072;2214.6719843149185
638361797175193488;1362;3;0;0.3342793;-0.1438285;0.9314348;4253.547370433807;2219.1424816846848
638361797175740992;1362;3;0;0.3036783;-0.163769;0.9385942;4138.7936398386955;2318.84503364563
638361797176610964;1362;3;0;0.2909512;-0.1685404;0.9417757;4091.0669714212418;2342.702016234398
638361797177112106;1362;3;0;0.2979561;-0.1617536;0.9407752;4117.33540892601;2308.7679743766785
638361797179179135;1362;3;0;0.2984734;-0.1666215;0.9397611;4119.275204837322;2333.1075310707092
638361797180226808;1362;3;0;0.4313472;-0.3095903;0.847404;4617.55196750164;3000
638361797180775048;1362;3;0;0.4751174;-0.5646293;0.6748757;4781.690195202827;3000
638361797181818162;1362;3;0;0.479499;-0.5770004;0.6611741;4798.12129586935;3000
638361797182903464;1362;3;0;0.4508439;-0.5729831;0.6844196;4690.664626657963;3000
638361797183396380;1362;3;0;0.4696862;-0.6303725;0.6180818;4761.3232880830765;3000
638361797184422982;1362;3;0;0;0;0;3000;1500
638361797184961877;1362;3;0;0.773751;-0.1797653;0.6074486;5901.566326618195;2398.8264948129654
638361797186012297;1362;3;0;0.765847;-0.2639221;0.5863647;5871.926352381706;2819.6104764938354
638361797187038304;1362;3;0;0.7698798;-0.2428333;0.590184;5887.049317359924;2714.166507124901
638361797188151801;1362;3;0;0.6605605;-0.02490223;0.7503597;5477.10183262825;1624.5111506432295
638361797188646568;1362;3;0;0.6763665;0.0004140884;0.7365652;5536.374405026436;1497.9295580124017
638361797189694112;1362;3;0;0.674167;0.01577614;0.7384105;5528.126165270805;1421.1192969232798
638361797190715277;1362;3;0;0.6747634;-0.01065636;0.7379572;5530.36268055439;1553.2817980274558
638361797191746446;1362;3;0;0.5625758;0.01518986;0.8266062;5109.659314155579;1424.0506999194622
638361797192267233;1362;3;0;0.2331565;-0.03320628;0.9718721;3874.3368834257126;1666.031401604414
638361797192812118;1362;3;0;0.2300392;-0.06611662;0.9709328;3862.6469783484936;1830.583117902279
638361797193790503;1362;3;0;0.2378782;-0.05901212;0.9695007;3892.043262720108;1795.0605936348438
638361797194273702;1362;3;0;0.2506024;-0.09649356;0.9632691;3939.7589787840843;1982.4677854776382
638361797194812033;1362;3;0;0.2295766;-0.07604033;0.9703157;3860.912259668112;1880.2016377449036
638361797195296460;1362;3;0;0.2466055;-0.03261878;0.9685668;3924.770627170801;1663.0938984453678
638361797196340390;1362;3;0;0.2771488;-0.03426978;0.9602157;4039.308048784733;1671.34889960289
638361797196813899;1362;3;0;0.2650952;0.02817043;0.9638107;3994.1070154309273;1359.1478541493416
638361797197308438;1362;3;0;0.2872565;0.01709732;0.9577011;4077.211908996105;1414.513397961855
638361797198342318;1362;3;0;0.3090141;0.03015853;0.9505792;4158.802919089794;1349.2073453962803
638361797198850915;1362;3;0;0.3121585;-0.009792533;0.9499795;4170.594356954098;1548.962663859129
638361797199927411;1362;3;0;0.2909943;-0.06990805;0.9541672;4091.228574514389;1849.540263414383
638361797200744253;1362;3;0;0.2952997;-0.05538956;0.9537977;4107.373908162117;1776.9478037953377
638361797201785778;1362;3;0;0.293305;-0.02323014;0.9557366;4099.893786013126;1616.1506958305836
638361797202822451;1362;3;0;0.295793;-0.01730286;0.9550954;4109.223738312721;1586.5142978727818
638361797203360714;1362;3;0;0.3423435;-0.05107285;0.9381858;4283.788159489632;1755.364254117012
638361797203922342;1362;3;0;0.2622471;-0.1289282;0.9563493;3983.426570892334;2144.6409970521927
638361797204544022;1362;3;0;0.2676783;-0.1286832;0.9548764;4003.793589770794;2143.4159725904465
638361797205066307;1362;3;0;0.2540621;-0.1289721;0.9585503;3952.7328237891197;2144.860491156578
638361797206090578;1362;3;0;0.2386948;-0.1725292;0.9556456;3895.105507224798;2362.6460283994675
638361797207131272;1362;3;0;0.2618103;-0.1526366;0.952973;3981.7886352539062;2263.1830126047134
638361797207825166;1362;3;0;0.2435571;-0.1473956;0.9586211;3913.3391082286835;2236.977979540825
638361797208821354;1362;3;0;0.2397267;-0.1396021;0.9607509;3898.9751525223255;2198.0104744434357
638361797209873897;1362;3;0;-0.4863746;-0.2137027;0.8472136;1176.0952994227412;2568.5134679079056
638361797210405589;1362;3;0;-0.6515552;-0.2435834;0.7184309;556.6680729389192;2717.9169803857803
638361797210953626;1362;3;0;-0.6004471;-0.2346232;0.7644706;748.3233064413072;2673.1159687042236
638361797211567593;1362;3;0;-0.5192161;-0.253271;0.8162527;1052.9395490884783;2766.3550674915314
638361797212615214;1362;3;0;-0.5061572;-0.2629437;0.8213803;1101.9104272127154;2814.718574285507
638361797213109303;1362;3;0;-0.4957234;-0.2571755;0.8295295;1141.0372629761698;2785.877525806427
638361797213589040;1362;3;0;-0.5025463;-0.2528899;0.8267369;1115.4513359069826;2764.449506998062
638361797214211340;1362;3;0;-0.5613469;-0.2618233;0.7850721;894.9491679668428;2809.11648273468
638361797215314294;1362;3;0;0;0;0;3000;1500
638361797216341023;1362;3;0;-0.8226275;-0.2055806;0.5301138;0;2527.9030352830887
638361797217361229;1362;3;0;-0.7663842;-0.2464785;0.5932145;126.0593086481096;2732.3924899101257
638361797218382963;1362;3;0;-0.7599311;-0.2322952;0.607078;150.25842189788835;2661.4760011434555
638361797219398885;1362;3;0;-0.7564132;-0.2444914;0.6066821;163.45041990280168;2722.456991672516
638361797220420588;1362;3;0;-0.7593288;-0.2440222;0.6032188;152.5170654058458;2720.1110273599625
638361797220999373;1362;3;0;-0.765988;-0.2471726;0.5934376;127.54502892494219;2735.862970352173
638361797221459626;1362;3;0;0;0;0;3000;1500
638361797222488667;1362;3;0;0;0;0;3000;1500
638361797222999953;1362;3;0;0.3751327;-0.1077614;0.9206861;4406.7476615309715;2038.806989789009
638361797224047694;1362;3;0;0.3913911;-0.134803;0.9102973;4467.716619372368;2174.014985561371
638361797225089171;1362;3;0;0.233764;-0.1660642;0.9580068;3876.614972949028;2330.3210139274597
638361797226145975;1362;3;0;0.2650481;-0.02108142;0.9640047;3993.9303249120712;1605.4070983082056
638361797226642962;1362;3;0;0.1988989;-0.06021005;0.9781687;3745.8708621561527;1801.0502457618713
638361797227586360;1362;3;0;0.1928909;-0.06039473;0.9793597;3723.3408652246;1801.9736520946026
638361797228608958;1362;3;0;0.1459785;-0.06115992;0.9873955;3547.4193580448627;1805.799599736929
638361797229650890;1362;3;0;0.1385093;-0.07538784;0.9874877;3519.4098874926567;1876.9392147660255
638361797230672617;1362;3;0;0.09302723;-0.1541301;0.9836614;3348.852099850774;2270.6505060195923
638361797231209400;1362;3;0;0.1746885;0.05327597;0.9831814;3655.0818867981434;1233.6201556026936
638361797232276317;1362;3;0;0.1827255;0.04938269;0.981923;3685.220640152693;1253.0865482985973
638361797232860480;1362;3;0;0.193385;0.0447158;0.9801034;3725.1937687397003;1276.4210030436516
638361797233735605;1362;3;0;0.1659666;0.02797;0.9857346;3622.374750673771;1360.1500038057566
638361797234250054;1362;3;0;0.1779663;0.03209421;0.9835131;3667.373612523079;1339.5289480686188
638361797235056216;1362;3;0;0.1762233;0.01992001;0.9841486;3660.837348550558;1400.399949401617
638361797235553649;1362;3;0;0.1838779;-0.008917747;0.9829087;3689.5421259105206;1544.5887353271246
638361797236601473;1362;3;0;0.2112774;-0.05685245;0.9757713;3792.2902330756187;1784.2622436583042
638361797237091317;1362;3;0;0.2137034;-0.06584596;0.974677;3801.3877272605896;1829.2297944426537
638361797237533982;1362;3;0;0.2283115;-0.07725709;0.9705181;3856.1681024730206;1886.2854465842247
638361797238603741;1362;3;0;0;0;0;3000;1500
638361797239124514;1362;3;0;0.4346919;-0.2105244;0.8756269;4630.094647407532;2552.621975541115
638361797239820194;1362;3;0;0.4486404;-0.2191329;0.8664309;4682.401522994041;2595.6645011901855
