Timestamp;Id;SequenceId;SequenceSet;VectorGazeX;VectorGazeY;VectorGazeZ;GazeX;GazeY
638362652363332605;1042;9;0;-0.1188687;-0.2035038;0.9718314;2554.2423706501722;2517.519012093544
638362652363845323;1042;9;0;0;0;0;3000;1500
638362652364797419;1042;9;0;-0.1154755;-0.1202653;0.9860028;2566.9668819755316;2101.3264879584312
638362652365302271;1042;9;0;-0.08521829;-0.03737561;0.9956611;2680.431419983506;1686.878051608801
638362652365798869;1042;9;0;-0.06571165;-0.006707296;0.9978161;2753.5813227295876;1533.5364788770676
638362652366303145;1042;9;0;-0.06477791;-0.01312373;0.9978133;2757.082834839821;1565.6186509877443
638362652366792846;1042;9;0;-0.05596863;-0.01590155;0.9983059;2790.1176335290074;1579.507753252983
638362652367300896;1042;9;0;-0.06175271;-0.0125179;0.998013;2768.4273356571794;1562.5895010307431
638362652367843097;1042;9;0;-0.08330067;-0.01508139;0.9964104;2687.6224782317877;1575.4069490358233
638362652368891055;1042;9;0;-0.07906765;-0.01379788;0.9967737;2703.4963220357895;1568.9894007518888
638362652369910619;1042;9;0;0.003145699;-0.03373743;0.9994258;3011.796370963566;1668.687142431736
638362652370681430;1042;9;0;0;0;0;3000;1500
638362652371170765;1042;9;0;0;0;0;3000;1500
638362652371869051;1042;9;0;0;0;0;3000;1500
638362652372650643;1042;9;0;0;0;0;3000;1500
638362652373147136;1042;9;0;0;0;0;3000;1500
638362652373713187;1042;9;0;0;0;0;3000;1500
638362652374303177;1042;9;0;0;0;0;3000;1500
638362652375394333;1042;9;0;0;0;0;3000;1500
638362652375870366;1042;9;0;0;0;0;3000;1500
638362652376908351;1042;9;0;0;0;0;3000;1500
638362652377957520;1042;9;0;-0.0960733;0.3334311;0.9378665;2639.725126326084;167.15547442436218
638362652379120860;1042;9;0;-0.08172132;0.06535301;0.9945102;2693.5450471937656;1173.2349321246147
638362652380140199;1042;9;0;-0.1709685;-0.1564392;0.9727777;2358.8681146502495;2282.1960002183914
638362652380754820;1042;9;0;-0.2157043;-0.1599839;0.9632636;2191.108848899603;2299.91951584816
638362652381803282;1042;9;0;-0.2325642;-0.1449156;0.9617242;2127.884265035391;2224.5779782533646
638362652382836650;1042;9;0;-0.1948005;-0.1472607;0.9697253;2269.4981396198273;2236.3034784793854
638362652383882440;1042;9;0;-0.2084448;-0.1416134;0.9677275;2218.3319851756096;2208.0669701099396
638362652384372340;1042;9;0;0.1800112;-0.2205764;0.9586146;3675.0419922173023;2602.8820276260376
638362652385423713;1042;9;0;0.1790939;-0.2335753;0.9557029;3671.602115035057;2667.876496911049
638362652385900575;1042;9;0;0.1708316;-0.2346262;0.9569572;3640.618521720171;2673.1310188770294
638362652386362212;1042;9;0;0.1696497;-0.2271991;0.9589576;3636.186394840479;2635.995537042618
638362652387316463;1042;9;0;0.02650508;-0.2048413;0.9784363;3099.394046701491;2524.206504225731
638362652387921836;1042;9;0;0.07249638;-0.202876;0.9765171;3271.8614134937525;2514.380007982254
638362652388972353;1042;9;0;0.0625785;-0.1322378;0.9892407;3234.6693724393845;2161.1890345811844
638362652389639618;1042;9;0;-0.2475189;0.006503131;0.9688613;2071.8041360378265;1467.484346125275
638362652390673782;1042;9;0;-0.2512176;0.005966075;0.9679123;2057.933986186981;1470.1696238480508
638362652391245868;1042;9;0;-0.229123;-0.000761644;0.9733971;2140.7887637615204;1503.8082199171185
638362652392369900;1042;9;0;-0.08817074;-0.1192059;0.9889468;2669.3597361445427;2096.0294976830482
638362652392946325;1042;9;0;0.009753965;-0.1280448;0.9917205;3036.577368155122;2140.2239948511124
638362652393409150;1042;9;0;0.0164448;-0.1462729;0.9891076;3061.6680015809834;2231.3644886016846
638362652394452334;1042;9;0;0.01021496;-0.136732;0.9905555;3038.3061007596552;2183.6599856615067
638362652394625972;1042;9;0;-0.05352897;-0.129018;0.9901964;2799.2663690820336;2145.0899690389633
638362652396158657;1042;9;0;-0.05914131;-0.128965;0.9898841;2778.220080770552;2144.8250263929367
638362652396630803;1042;9;0;-0.06054692;-0.1245519;0.9903641;2772.9490511119366;2122.759498655796
638362652397108173;1042;9;0;-0.0624805;-0.1246643;0.9902297;2765.698118135333;2123.321495950222
638362652398152261;1042;9;0;-0.06275566;-0.1255893;0.9900955;2764.6662779152393;2127.9464811086655
638362652398672389;1042;9;0;-0.04488252;-0.1256302;0.9910614;2831.6905461251736;2128.150999546051
638362652399589902;1042;9;0;-0.04852778;-0.1245236;0.9910293;2818.0208215489984;2122.6180121302605
638362652400621789;1042;9;0;0.1978285;-0.2406029;0.9502495;3741.8568804860115;2703.0144780874252
638362652401135033;1042;9;0;0.2085679;-0.2373037;0.9487815;3782.1296341717243;2686.518520116806
638362652401661394;1042;9;0;0.1602347;-0.2396506;0.9575449;3600.880142301321;2698.253035545349
638362652402663427;1042;9;0;0.1575824;-0.2392907;0.958075;3590.934008359909;2696.453496813774
638362652403141825;1042;9;0;0.1683066;-0.2355241;0.957184;3631.1497651040554;2677.620515227318
638362652404166904;1042;9;0;0.1992544;-0.2362678;0.951039;3747.203975915909;2681.3390254974365
638362652404680884;1042;9;0;0.2099882;-0.2495617;0.9453168;3787.455774843693;2747.808486223221
638362652405727225;1042;9;0;0;0;0;3000;1500
638362652406748541;1042;9;0;-0.222748;-0.02077772;0.9746546;2164.6950133144855;1603.8885954767466
638362652407869731;1042;9;0;-0.215567;0.004453605;0.9764789;2191.623777151108;1477.7319747954607
638362652408804395;1042;9;0;-0.2014872;0.00454182;0.9794807;2244.4230057299137;1477.2909004241228
638362652409325799;1042;9;0;-0.2108379;0.00471624;0.9775096;2209.357872605324;1476.4188006520271
638362652409866752;1042;9;0;-0.211421;0.005177122;0.9773815;2207.171257585287;1474.1143896244466
638362652410489130;1042;9;0;-0.2037207;0.003729869;0.9790219;2236.047361046076;1481.3506554346532
638362652411006499;1042;9;0;-0.2023819;0.003899613;0.9792989;2241.06789752841;1480.50193535164
638362652411484388;1042;9;0;-0.1788277;0.00167314;0.983879;2329.396113753319;1491.6343000950292
638362652412531729;1042;9;0;-0.1840738;0.002126418;0.9829102;2309.7232282161713;1489.3679097294807
638362652413030054;1042;9;0;-0.001282813;-0.03921402;0.9992301;2995.189451146871;1696.0700936615467
638362652413936742;1042;9;0;0.01509346;-0.03752039;0.9991819;3056.600474053994;1687.601950019598
638362652414968412;1042;9;0;-0.07207014;-0.03126047;0.9969096;2729.736987501383;1656.3023589551449
638362652415974867;1042;9;0;-0.05814033;-0.03371783;0.9977388;2781.973762437701;1668.589148670435
638362652416995066;1042;9;0;-0.04528029;-0.03527305;0.9983515;2830.198916606605;1676.3652451336384
638362652417492120;1042;9;0;-0.04397089;-0.03422197;0.9984465;2835.1091612130404;1671.1098477244377
638362652418199303;1042;9;0;-0.04332396;-0.03339376;0.9985028;2837.5351494178176;1666.968796402216
638362652418733375;1042;9;0;0.02422394;-0.03677377;0.9990301;3090.839776676148;1683.8688552379608
638362652419237519;1042;9;0;0.3661042;0.008698534;0.9305332;4372.890695929527;1456.5073288977146
638362652419733467;1042;9;0;0.3659998;0.002484441;0.9306117;4372.499205172062;1487.5777948182076
638362652420216808;1042;9;0;0.357363;0.002787897;0.9339614;4340.111196041107;1486.060515511781
638362652420985951;1042;9;0;0.3141782;0.01528971;0.9492409;4178.168244659901;1423.551450483501
638362652422104491;1042;9;0;0.3149357;0.01308586;0.9490227;4181.00892752409;1434.5707008615136
