Timestamp;Id;SequenceId;SequenceSet;VectorGazeX;VectorGazeY;VectorGazeZ;GazeX;GazeY
638337374975831805;2101;5;0;0.1311721;-0.2040879;0.9701248;3491.8953962624073;2520.439490675926
638337374976281549;2101;5;0;0.1384089;-0.1875462;0.9724554;3519.033372402191;2437.7309679985046
638337374976767407;2101;5;0;0.1463146;-0.1940986;0.9700091;3548.6797727644444;2470.493033528328
638337374977391108;2101;5;0;0.1445139;-0.1939902;0.9703007;3541.927143931389;2469.9510037899017
638337374977848167;2101;5;0;0.146358;-0.2074244;0.9672406;3548.842493444681;2537.1220111846924
638337374978465231;2101;5;0;0.03130697;-0.08347905;0.9960177;3117.401140742004;1917.3952341079712
638337374978930467;2101;5;0;-0.07098049;0.01805609;0.9973143;2733.8231652975082;1409.7195453941822
638337374979384595;2101;5;0;-0.06767924;0.00194104;0.9977052;2746.2028451263905;1490.2947997907177
638337374979865720;2101;5;0;-0.0748855;0.004573479;0.9971816;2719.17936578393;1477.1326058544219
638337374980337602;2101;5;0;-0.03037798;-0.0192818;0.9993525;2886.0825737938285;1596.4090041816235
638337374981388657;2101;5;0;-0.03641213;-0.01257174;0.9992578;2863.4545085951686;1562.8586998209357
638337374981875569;2101;5;0;-0.02430636;-0.001016378;0.999704;2908.8511476293206;1505.08189026732
638337374982975890;2101;5;0;0.04193889;0.03076315;0.9986465;3157.2708366438746;1346.184253692627
638337374983871445;2101;5;0;0.04572361;0.03377701;0.9983829;3171.4635360985994;1331.1149515211582
638337374984359337;2101;5;0;-0.06764123;0.08357321;0.9942033;2746.345393359661;1082.1339637041092
638337374985418236;2101;5;0;-0.07634991;0.08471325;0.9934759;2713.687850162387;1076.4337480068207
638337374985914933;2101;5;0;-0.1652473;0.2014336;0.9654625;2380.322601646185;492.8320050239563
638337374986379480;2101;5;0;-0.1861167;0.2365488;0.9536274;2302.0623922348022;317.25601851940155
638337374987423795;2101;5;0;-0.1914058;0.2191861;0.9567242;2282.2282388806343;404.0695130825043
638337374987920292;2101;5;0;-0.1923051;0.2120086;0.9581603;2278.855863958597;439.95702266693115
638337374988456091;2101;5;0;-0.191486;0.2149829;0.9576614;2281.9274961948395;425.08551478385925
638337374990539805;2101;5;0;-0.1346696;0.2311333;0.9635567;2494.9889928102493;344.3335145711899
638337374991026837;2101;5;0;-0.1333306;0.1803131;0.9745307;2500.0102557241917;598.4345227479935
638337374992076240;2101;5;0;-0.1272064;0.1840966;0.9746419;2522.9759998619556;579.5169770717621
