Timestamp;Id;SequenceId;SequenceSet;VectorGazeX;VectorGazeY;VectorGazeZ;GazeX;GazeY
638340027313823434;2321;10;0;0.1914867;0.3426628;0.9197364;3718.075130134821;213.31405639648438
638340027314297785;2321;10;0;0.1823832;0.3283999;0.9267631;3683.936979621649;141.9994831085205
638340027314809957;2321;10;0;0.1715523;0.3017048;0.9378401;3643.3211266994476;8.52397084236145
638340027315309559;2321;10;0;0.1635103;0.3203654;0.9330758;3613.163597881794;101.8269956111908
638340027316167060;2321;10;0;0.1726231;0.3281092;0.9287333;3647.3366171121597;140.5460238456726
638340027316641994;2321;10;0;0.1780803;0.3499172;0.9196985;3667.801145464182;249.58601593971252
638340027317140923;2321;10;0;0.3215647;0.2901551;0.9013358;4205.867640674114;49.22443628311157
638340027318162981;2321;10;0;0.3292267;0.3006662;0.8951031;4234.600134193897;3.3310651779174805
638340027318664503;2321;10;0;0;0;0;3000;1500
638340027319149456;2321;10;0;0;0;0;3000;1500
638340027320207325;2321;10;0;0;0;0;3000;1500
638340027320667925;2321;10;0;0;0;0;3000;1500
638340027321146680;2321;10;0;0;0;0;3000;1500
638340027322248178;2321;10;0;0;0;0;3000;1500
638340027323007656;2321;10;0;0.351449;0.1128213;0.9293842;4317.933797836304;935.8934834599495
638340027323466922;2321;10;0;0.1574737;-0.1306878;0.9788375;3590.526368469;2153.43901515007
638340027323989983;2321;10;0;0.4404975;0.2130706;0.8721025;4651.86557918787;434.64699387550354
638340027324476568;2321;10;0;0.2822017;0.370446;0.8849475;4058.2564026117325;352.2299826145172
638340027325008395;2321;10;0;0.2775965;0.3484403;0.8952819;4040.9868881106377;242.20144748687744
638340027325474243;2321;10;0;0.4217144;0.1863387;0.8873753;4581.428982317448;568.3065354824066
638340027326372250;2321;10;0;0.3948707;0.1668966;0.9034504;4480.765119194984;665.5170172452927
638340027326858127;2321;10;0;0.472181;0.1249298;0.872604;4770.678721368313;875.3509968519211
638340027327314315;2321;10;0;0.464654;0.1270577;0.8763294;4742.452494800091;864.7114932537079
638340027327836955;2321;10;0;0.4676336;0.124575;0.8751;4753.6260187625885;877.1250173449516
638340027328336193;2321;10;0;0.474014;0.1351786;0.870079;4777.552552521229;824.1070210933685
638340027328867849;2321;10;0;0.4806588;0.1395798;0.8657278;4802.470497786999;802.1009862422943
638340027329340043;2321;10;0;0.4864292;0.1414466;0.8621946;4824.1095542907715;792.7669733762741
638340027329844739;2321;10;0;0.4719433;0.1162373;0.8739328;4769.787333905697;918.8135117292404
638340027330346316;2321;10;0;0.4634512;0.1251083;0.8772464;4737.942025065422;874.4584918022156
638340027330836496;2321;10;0;0.441423;0.1564098;0.883562;4655.336245894432;717.9509997367859
638340027331340840;2321;10;0;0.4377883;0.164139;0.8839682;4641.70615375042;679.3049871921539
638340027331835028;2321;10;0;0.4695984;0.04948426;0.8814923;4760.994046926498;1252.5786980986595
638340027332344687;2321;10;0;0;0;0;3000;1500
638340027332857471;2321;10;0;0.4153075;0.27186;0.8681082;4557.403095066547;140.69998264312744
638340027333098486;2321;10;0;0.4068414;0.2745824;0.8712545;4525.65523982048;127.08806991577148
638340027335185178;2321;10;0;0.3889073;0.2771713;0.8785939;4458.4024250507355;114.14343118667603
638340027335721199;2321;10;0;0.3068622;0.2889524;0.9068309;4150.733269751072;55.23794889450073
638340027336185030;2321;10;0;0.3062786;0.2855536;0.9081038;4148.5446989536285;72.23197817802429
638340027337244375;2321;10;0;0.304886;0.2931589;0.906147;4143.322549760342;34.20555591583252
638340027337722662;2321;10;0;0.290077;0.288097;0.9126092;4087.7887532114983;59.515029191970825
638340027338164187;2321;10;0;0.3037434;0.1752145;0.9365041;4139.037720859051;623.927503824234
638340027339247199;2321;10;0;0.3088623;0.004280612;0.9510971;4158.233620226383;1478.5969406366348
638340027339722327;2321;10;0;0.3393497;-0.0105669;0.9406009;4272.561326622963;1552.8344977647066
638340027340183287;2321;10;0;0.3270449;-0.01874793;0.9448228;4226.418390870094;1593.7396474182606
638340027341210524;2321;10;0;0.3200881;-0.0214539;0.9471449;4200.330331921577;1607.2695013135672
638340027341724723;2321;10;0;0.1549856;-0.04553591;0.9868668;3581.1960250139236;1727.679554373026
638340027342184636;2321;10;0;-0.2122041;-0.08738928;0.9733101;2204.234629869461;1936.946414411068
638340027343269604;2321;10;0;-0.1382096;-0.05580166;0.9888298;2481.7140139639378;1779.00829911232
638340027343732729;2321;10;0;-0.01613472;-0.02552759;0.9995439;2939.4947988912463;1627.637954428792
638340027344210677;2321;10;0;-0.0009560809;-0.04186098;0.999123;2996.41469657945;1709.3048952519894
638340027344732031;2321;10;0;0.00776469;-0.04762738;0.998835;3029.1175878373906;1738.1368912756443
638340027345208527;2321;10;0;-0.005549669;-0.0582071;0.9982891;2979.1887419996783;1791.0354919731617
638340027346254905;2321;10;0;-0.01868831;-0.05918679;0.9980721;2929.9188377335668;1795.9339506924152
638340027346770121;2321;10;0;0.2067722;-0.1012987;0.9731309;3775.3957249224186;2006.4934864640236
638340027347852654;2321;10;0;0.2560778;-0.1214668;0.9589943;3960.291735827923;2107.33400285244
638340027348354211;2321;10;0;0.3238352;-0.1078535;0.939946;4214.381977915764;2039.267510175705
638340027349396022;2321;10;0;0.3177927;-0.1136535;0.9413238;4191.722676157951;2068.2675167918205
638340027349892361;2321;10;0;0.3064628;-0.1668726;0.9371415;4149.235479533672;2334.363028407097
