Timestamp;Id;SequenceId;SequenceSet;VectorGazeX;VectorGazeY;VectorGazeZ;GazeX;GazeY
638363482920450746;2132;14;1;0.3029427;0.1759831;0.9366192;4136.0350996255875;620.0844943523407
638363482920926077;2132;14;1;0.2921311;0.1768325;0.9398881;4095.491610467434;615.8375144004822
638363482923448313;2132;14;1;0.2971352;0.1767134;0.9383406;4114.257015287876;616.4329648017883
638363482923962543;2132;14;1;0;0;0;3000;1500
638363482925512924;2132;14;1;0.02863054;0.4994901;0.8658463;3107.364524155855;997.4505603313446
638363482926562831;2132;14;1;0.1074072;0.5002073;0.8592184;3402.77699008584;1001.036524772644
638363482927590381;2132;14;1;0.1101155;0.5004333;0.8587439;3412.9331186413765;1002.1666288375854
638363482928596674;2132;14;1;0;0;0;3000;1500
638363482929617738;2132;14;1;0;0;0;3000;1500
638363482930636844;2132;14;1;0;0;0;3000;1500
638363482931645595;2132;14;1;0;0;0;3000;1500
638363482932674905;2132;14;1;0;0;0;3000;1500
638363482933691660;2132;14;1;-0.1757512;0.5086058;0.8428711;2340.93302115798;1043.0288910865784
638363482934756224;2132;14;1;0;0;0;3000;1500
638363482935233812;2132;14;1;0;0;0;3000;1500
638363482935739243;2132;14;1;0;0;0;3000;1500
638363482936240814;2132;14;1;0;0;0;3000;1500
638363482936738990;2132;14;1;0;0;0;3000;1500
638363482937238525;2132;14;1;0.6278971;0.589685;0.5079536;5354.6140640974045;1448.4251141548157
638363482937739485;2132;14;1;0.6260079;0.5800794;0.5211737;5347.5296795368195;1400.3968834877014
638363482938828310;2132;14;1;0.6900179;0.5350972;0.4873872;5587.567046284676;1175.485908985138
638363482939392625;2132;14;1;0.6621751;0.5681829;0.4885616;5483.156695961952;1340.9144282341003
638363482940439451;2132;14;1;0.6975551;0.5383961;0.472807;5615.831717848778;1191.9806003570557
638363482941490240;2132;14;1;0.7003343;0.5382578;0.4688392;5626.253664493561;1191.2888884544373
638363482942082522;2132;14;1;0.6995312;0.5119585;0.4985527;5623.241990804672;1059.792399406433
638363482942630483;2132;14;1;0.4918194;0.03790192;0.8698719;4844.322793185711;1310.4904033243656
638363482943668647;2132;14;1;0.4585582;0.04878255;0.8873245;4719.59325671196;1256.087251007557
638363482944685045;2132;14;1;0.5243111;-0.001851194;0.8515249;4966.166719794273;1509.2559697804973
638363482945728569;2132;14;1;0.5358231;0.02251679;0.84403;5009.3366503715515;1387.4160461127758
638363482946762019;2132;14;1;0;0;0;3000;1500
638363482947835510;2132;14;1;0;0;0;3000;1500
638363482948330313;2132;14;1;-0.2042332;-0.1666955;0.964625;2234.125502407551;2333.4775269031525
638363482949377210;2132;14;1;-0.1075101;-0.1724906;0.9791264;2596.8371350318193;2362.452983856201
638363482949974886;2132;14;1;-0.1073096;-0.1821278;0.9774017;2597.5889917463064;2410.6390178203583
638363482951020249;2132;14;1;-0.09820195;-0.1875072;0.977342;2631.742676720023;2437.535986304283
638363482951513030;2132;14;1;-0.3052976;0.05232339;0.9508184;1855.1339507102969;1238.383051007986
638363482952547992;2132;14;1;-0.293455;0.06211673;0.9539526;1899.543732404709;1189.4163452088833
638363482953618716;2132;14;1;-0.2672802;0.05139505;0.9622473;1997.699283063412;1243.0247440934181
638363482954141292;2132;14;1;-0.4637191;0.2732907;0.8427791;1261.053375899792;133.54653120040894
638363482955201193;2132;14;1;-0.4455173;0.2691182;0.8538675;1329.3101191520693;154.40905094146729
638363482955695333;2132;14;1;-0.4075586;0.2568971;0.876299;1471.6552868485453;215.51454067230225
638363482956744675;2132;14;1;-0.4012097;0.2553779;0.8796664;1495.4635798931124;223.11055660247803
638363482957786767;2132;14;1;-0.3867964;0.2553235;0.8861143;1549.5134443044665;223.38250279426575
638363482958822844;2132;14;1;-0.4041285;0.2491298;0.8801219;1484.5181554555895;254.35099005699158
638363482959866980;2132;14;1;0.1441669;0.2727499;0.9512221;3540.6258814036846;136.25049591064453
638363482960402265;2132;14;1;0.1190379;0.3250017;0.9381918;3446.392111480236;125.00843405723572
638363482960884801;2132;14;1;0.09236424;0.3307661;0.9391819;3346.365887671709;153.83055806159973
638363482961425226;2132;14;1;0.1222124;0.2544208;0.9593405;3458.2965094596148;227.8960645198822
638363482962403395;2132;14;1;0.1092483;0.2066452;0.9722975;3409.68113578856;466.77397191524506
638363482962883166;2132;14;1;0.2635442;0.2609766;0.9286741;3988.2907569408417;195.11693716049194
638363482963931478;2132;14;1;0;0;0;3000;1500
638363482964448691;2132;14;1;0;0;0;3000;1500
638363482965477009;2132;14;1;0.687191;0.2211403;0.692001;5576.966285705566;394.2985236644745
638363482966497397;2132;14;1;0.632009;0.2344905;0.738633;5370.033860206604;327.54750549793243
638363482967519300;2132;14;1;0;0;0;3000;1500
638363482968531773;2132;14;1;0;0;0;3000;1500
638363482969409164;2132;14;1;0.8534847;0.1253279;0.5058229;6000;873.3604997396469
638363482969915471;2132;14;1;0.793669;0.1264194;0.5950694;5976.25869512558;867.9030239582062
638363482970458062;2132;14;1;0.7697614;0.1194672;0.6270527;5886.605188250542;902.6640057563782
638363482971499866;2132;14;1;0.7007726;0.2772852;0.6572905;5627.897188067436;113.5740578174591
638363482972612517;2132;14;1;0.6623326;0.3443285;0.6653973;5483.747228980064;221.64246439933777
638363482973639638;2132;14;1;0.6549983;0.3535077;0.6678395;5456.243634223938;267.53848791122437
638363482974235561;2132;14;1;0.6504273;0.329418;0.6844181;5439.102306962013;147.09001779556274
638363482975279627;2132;14;1;0.6876032;0.1531434;0.7097527;5578.511908650398;734.2829704284668
638363482975799019;2132;14;1;0.7020746;-0.1583589;0.694272;5632.779702544212;2291.7945086956024
638363482976727697;2132;14;1;0.6924753;-0.1803152;0.6985446;5596.782445907593;2401.575982570648
638363482977263858;2132;14;1;0.6973778;-0.1725217;0.6956295;5615.166753530502;2362.608477473259
638363482977826706;2132;14;1;0.6971368;-0.1735918;0.695605;5614.263072609901;2367.958962917328
638363482978737521;2132;14;1;0.7000288;-0.005151443;0.7140961;5625.107914209366;1525.7572159171104
638363482979784522;2132;14;1;0.6069598;0.3551279;0.710974;5276.099324226379;275.63950419425964
638363482980279591;2132;14;1;0.6055516;0.3473416;0.7160035;5270.818501710892;236.70798540115356
638363482981325954;2132;14;1;0.5995661;0.355769;0.7169022;5248.372882604599;278.84504199028015
638363482981822673;2132;14;1;0.6103108;0.342781;0.7141582;5288.665473461151;213.90503644943237
638363482982295693;2132;14;1;0.6086645;0.3314648;0.7208735;5282.49192237854;157.32398629188538
638363482983370237;2132;14;1;0.6162226;0.3370802;0.7117912;5310.83482503891;185.401052236557
638363482983843621;2132;14;1;0.5828792;0.4141923;0.6990683;5185.796946287155;570.9614455699921
638363482984328299;2132;14;1;0.5909882;0.4090146;0.6952986;5216.205820441246;545.0730621814728
638363482984849812;2132;14;1;0.5887519;0.4161544;0.6929551;5207.8196704387665;580.7720720767975
638363482985952630;2132;14;1;0.6007976;0.4067373;0.6881912;5252.99097597599;533.686488866806
638363482986946732;2132;14;1;0.6124961;0.3812449;0.6924601;5296.860292553902;406.22448921203613
638363482987991347;2132;14;1;0;0;0;3000;1500
638363482988539410;2132;14;1;0;0;0;3000;1500
638363482989035186;2132;14;1;0;0;0;3000;1500
638363482990070020;2132;14;1;-0.6927427;0.13926;0.7076117;402.2148549556734;803.7000298500061
638363482990572780;2132;14;1;-0.5933058;0.1321942;0.7940485;775.1031517982484;839.0289694070816
638363482991640776;2132;14;1;-0.567898;0.127517;0.8131613;870.3825920820237;862.415000796318
638363482992692895;2132;14;1;-0.3575779;-0.03368374;0.9332757;1659.0829119086268;1668.4186980128288
638363482993193087;2132;14;1;-0.3365073;-0.07224663;0.9389054;1738.0976602435114;1861.2331673502922
638363482994158170;2132;14;1;-0.3927731;-0.09879047;0.9143138;1527.100905776024;1993.9523339271545
638363482995156887;2132;14;1;-0.4148886;-0.09613177;0.9047796;1444.1677853465083;1980.658859014511
638363482996200002;2132;14;1;-0.4106117;-0.08998242;0.9073595;1460.2061659097674;1949.9121010303497
638363482997225194;2132;14;1;-0.3696539;-0.07945006;0.9257666;1613.797836005688;1897.2503170371056
638363482998246773;2132;14;1;-0.3860356;-0.135227;0.9125186;1552.3665323853495;2176.1349737644196
638363482998758736;2132;14;1;-0.3553861;-0.07509823;0.9316979;1667.3020943999293;1875.4911571741104
638363482999828364;2132;14;1;-0.3098087;-0.04974076;0.949497;1838.2173702120783;1748.703807592392
638363483000386726;2132;14;1;-0.3221389;-0.03842955;0.9459121;1791.979104280472;1692.1477541327477
638363483000926970;2132;14;1;-0.5489717;0.01181424;0.8357575;941.3560777902604;1440.9287981688976
638363483001989432;2132;14;1;-0.8369466;0.09766217;0.5385001;0;1011.6891339421272
638363483003024223;2132;14;1;-0.8327777;0.1135301;0.5418416;0;932.3495030403137
638363483004068126;2132;14;1;-0.816277;0.1091178;0.5672613;0;954.411007463932
638363483005114059;2132;14;1;-0.7761395;0.09889833;0.6227573;89.47688341140764;1005.5083557963371
638363483006174443;2132;14;1;-0.4254431;-0.0008594003;0.9049847;1404.5883268117907;1504.2970015783794
638363483006648067;2132;14;1;-0.4540597;-0.002532964;0.8909676;1297.2761616110804;1512.6648205332458
638363483007675370;2132;14;1;-0.2896235;-0.01457154;0.9570298;1913.9118790626528;1572.8577002882957
638363483008409439;2132;14;1;-0.3394669;-0.004761738;0.940606;1726.9991263747218;1523.8086888566613
638363483009474394;2132;14;1;-0.3378506;0.0009353356;0.9411993;1733.0602481961253;1495.3233220730908
638363483009971063;2132;14;1;-0.3104064;-0.005861942;0.9505859;1835.9760493040087;1529.3097109533846
638363483010673809;2132;14;1;-0.3323626;-0.003470566;0.9431453;1753.6402791738512;1517.3528294544667
638363483011272095;2132;14;1;-0.3414158;-0.003285462;0.9399067;1719.6907773613932;1516.4273101836443
638363483012340801;2132;14;1;-0.2950498;-0.08082443;0.9520573;1893.5633003711703;1904.1221365332603
638363483012831458;2132;14;1;-0.2995945;-0.1043544;0.9483424;1876.5206560492518;2021.7719823122025
638363483013314754;2132;14;1;-0.3082264;-0.1035213;0.9456638;1844.1509753465655;2017.6065117120743
638363483013902725;2132;14;1;-0.3010927;-0.1080552;0.947453;1870.9023222327235;2040.2759835124016
638363483014466708;2132;14;1;-0.290754;-0.1147617;0.9498904;1909.6725359559061;2073.808513581753
638363483015521803;2132;14;1;-0.3047571;-0.1137096;0.9456179;1857.160918414593;2068.5479938983917
638363483016036788;2132;14;1;-0.3219317;-0.1071076;0.9406848;1792.7561625838282;2035.5380102992058
638363483016992989;2132;14;1;-0.3227322;-0.1010491;0.9410808;1789.7542119026186;2005.2455142140388
638363483017496138;2132;14;1;0;0;0;3000;1500
638363483018022218;2132;14;1;0;0;0;3000;1500
638363483018720968;2132;14;1;0.01039699;-0.2519444;0.9676858;3038.9887124765664;2759.721964597702
638363483019751362;2132;14;1;-0.04853849;-0.2054527;0.9774627;2817.980658262968;2527.2634774446487
638363483020340441;2132;14;1;-0.02400923;-0.2124023;0.9768873;2909.96538894251;2562.011495232582
638363483021046457;2132;14;1;0;0;0;3000;1500
638363483022089965;2132;14;1;0;0;0;3000;1500
638363483023134787;2132;14;1;0.5330795;-0.175176;0.8277315;4999.048143625259;2375.8799731731415
638363483023746132;2132;14;1;0.4277888;-0.1728348;0.8872006;4604.20797765255;2364.1739934682846
638363483024371730;2132;14;1;0.5643035;-0.1356393;0.8143486;5116.138190031052;2178.1964749097824
638363483024908423;2132;14;1;0.7190436;-0.0997524;0.6877686;5696.413546800613;1998.7619817256927
638363483025533846;2132;14;1;0.6609986;-0.1298702;0.7390633;5478.744685649872;2149.35103058815
638363483026596024;2132;14;1;0.6487159;-0.1329235;0.7493324;5432.684674859047;2164.617493748665
638363483027635991;2132;14;1;0.6139206;0.2424203;0.7512216;5302.202358841896;287.8984957933426
638363483028656843;2132;14;1;0.6113248;0.235234;0.7556103;5292.467951774597;323.8299638032913
638363483029697006;2132;14;1;0;0;0;3000;1500
638363483030274396;2132;14;1;0.7471695;0.1672364;0.6432495;5801.885604858398;663.8179868459702
638363483030777729;2132;14;1;0.7408283;0.183276;0.646207;5778.1060338020325;583.620011806488
638363483031819524;2132;14;1;0.7393296;0.1636481;0.6531546;5772.485911846161;681.7595064640045
638363483032861678;2132;14;1;0.73993;0.1963325;0.643395;5774.737402796745;518.3375030755997
638363483033892501;2132;14;1;0.7418779;0.1699055;0.6486521;5782.042175531387;650.4725068807602
638363483034415745;2132;14;1;0.7519673;0.176496;0.6351333;5819.877415895462;617.5200045108795
638363483035467524;2132;14;1;0.4454883;0.1411594;0.8840895;4670.581139624119;794.2029982805252
638363483035969892;2132;14;1;0.267299;0.1849958;0.9456891;4002.371236681938;575.0209987163544
638363483037027755;2132;14;1;0.2522246;0.01692562;0.9675207;3945.8422288298607;1415.3719004243612
638363483038180371;2132;14;1;-0.2602275;-0.1080075;0.9594874;2024.1468697786333;2040.037490427494
638363483039187256;2132;14;1;-0.08271158;-0.1991948;0.9764631;2689.8315846920013;2495.9740191698074
